date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
2018-01-01,RHM.DE,2.85,,bmo,1722000000.0,,2018-01-01,2023-08-16
2018-01-02,TLG.TO,-0.017240000000000002,,bmo,,,2017-10-31,2023-10-16
2018-01-02,4439.T,,,bmo,,,2017-11-30,2023-05-17
2018-01-02,ZMSPF,,,bmo,,,2018-03-31,2023-05-17
2018-01-02,CHXMF,,,bmo,,,2018-03-31,2023-05-17
2018-01-03,CMC,0.31,0.17,bmo,1238519000.0,1217118119.625,2017-11-29,2023-09-29
2018-01-03,LFCR,0.02,,bmo,136457000.0,,2017-11-30,2023-11-28
2018-01-03,RGP,0.33,0.2,bmo,156738000.0,117553500.0,2017-11-24,2023-10-12
2018-01-03,NAUH,-0.13,,amc,20018000.0,,2017-11-29,2023-09-29
2018-01-03,NEOG,0.13,0.13,bmo,101817000.0,80219454.54545455,2017-11-29,2023-09-29
2018-01-03,LNDC,0.02,0.013000000000000001,amc,136457000.0,61250000.0,2017-11-25,2023-08-16
2018-01-03,RAD,1.53,-0.4,amc,5353170000.0,28254457260.0,2017-12-01,2023-09-29
2018-01-03,UNF,1.6,1.4100000000000001,bmo,415778000.0,351064670.65868264,2017-11-24,2023-09-29
2018-01-03,033240.KS,-134.00195,,bmo,97235799000.0,,2017-10-03,2023-05-17
2018-01-31,FRSB,0.16,,bmo,2442302.0,,2017-12-31,2023-09-29
2018-01-31,4007.SR,0.26,0.24,bmo,188684890.0,,2017-12-30,2023-05-17
2018-01-31,IVAC,-0.0018800000000000002,-0.0009400000000000001,amc,24769000.0,43770076.0,2017-12-29,2023-09-29
2018-01-31,MEAT.CN,-0.031650000000000005,,bmo,,,2018-01-31,2023-10-16
2018-01-31,MENE.V,-0.00807,,bmo,,,2018-01-31,2023-10-16
2018-01-31,8739.T,10.38,,bmo,2690000000.0,,2017-10-31,2023-10-17
2018-01-31,TKPHF,87.16,29.4,bmo,430777000000.0,,2017-10-31,2023-10-16
2018-01-31,CUSN.V,-0.013560000000000001,,bmo,,,2018-01-31,2023-10-16
2018-01-31,MJRX.CN,-0.16256,,bmo,,,2018-01-31,2023-10-16
2018-01-31,OUTKY,0.34,,bmo,1465000000.0,,2017-12-31,2023-09-29
2018-01-31,MMEN.CN,-0.06078000000000001,,bmo,,,2018-01-31,2023-10-16
2018-01-31,6508.T,19.81,,bmo,50937000000.0,,2017-10-31,2023-10-16
2018-01-31,7775.T,7.68,,bmo,2105502000.0,,2017-10-31,2023-10-17
2018-01-31,NDAQ,0.35000000000000003,0.33,bmo,1024000000.0,975238095.2380952,2017-12-30,2023-09-29
2018-01-31,8321.HK,0.02186,,bmo,56963000.0,,2018-01-31,2023-10-16
2018-01-31,4336.HK,0.12610000000000002,,bmo,4204000000.0,,2018-01-31,2023-08-25
2018-01-31,6753.T,31.55,30.67,bmo,595177000000.0,,2017-10-31,2023-10-17
2018-01-31,LSTR,1.08,1.02,amc,1051592000.0,697044155.8441558,2017-12-29,2023-09-29
2018-01-31,DOMO,-1.6513300000000002,,amc,30073000.0,,2018-01-31,2023-09-29
2018-01-31,BLOX.CN,-0.07287,,bmo,76117.0,,2018-01-31,2023-10-17
2018-01-31,WFC.TO,-0.04358,,bmo,20705266.0,,2018-01-31,2023-10-17
2018-01-31,4229.T,64.28,,bmo,6902000000.0,,2017-10-31,2023-10-17
2018-01-31,AP2.DE,0.12610000000000002,,bmo,4204000000.0,,2018-01-31,2023-05-17
2018-01-31,NTDOY,0.15,,--,1200560000000.0,,2018-06-30,2023-11-13
2018-01-31,MUSA,1.03,1.13,amc,3379524000.0,4075308352.9411764,2017-12-30,2023-09-29
2018-01-31,8293.HK,-0.0006900000000000001,,bmo,5492305.0,,2018-01-31,2023-05-17
2018-01-31,4685.T,309.78,,bmo,6948000000.0,,2017-10-31,2023-10-17
2018-01-31,9104.T,134.68,7.53,bmo,315461000000.0,,2017-10-31,2023-10-17
2018-01-31,CSIOF,19.66,28.07,bmo,78301000000.0,,2017-10-31,2023-10-17
